ID,Publish Date,Title,Author ID,Comment Count,Primary Tickers,Secondary Tickers,Image URL
4217337,2024-10-29T06:35:24-04:00,JAB seeks to raise ~$1.97B with Keurig Dr Pepper share sale,54434154,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/465670940/image_465670940.jpg
4216196,2024-10-28T17:40:35-04:00,Keurig Dr Pepper announces $60M secondary offering of common stock by JAB,59062064,8,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/465670940/image_465670940.jpg
4200628,2024-10-24T11:29:32-04:00,Keurig Dr Pepper makes an energizing M&A move,954720,17,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1403479106/image_1403479106.jpg
4198821,2024-10-24T07:04:12-04:00,"Keurig Dr Pepper Non-GAAP EPS of $0.51 in-line, revenue of $3.89B misses by $30M",54603272,0,tag,,
4198555,2024-10-24T06:13:34-04:00,Keurig Dr Pepper agrees to acquire energy-drink maker Ghost (update),54434154,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1447458691/image_1447458691.jpg
4196152,2024-10-23T12:04:37-04:00,Keurig Dr Pepper Q3 2024 Earnings Preview,49282475,0,tag,,
4157553,2024-10-10T08:52:06-04:00,"CPI read: Food inflation steps up in September as eggs, butter, and beef prices jump",954720,42,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/119453743/image_119453743.jpg
4151868,2024-09-23T08:45:24-04:00,"Citi upgrades Keurig Dr Pepper to buy from neutral, says valuation attractive",59093036,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/634602438/image_634602438.jpg
4149422,2024-09-13T08:40:12-04:00,"Dividend Roundup: Oracle, Colgate-Palmolive, AIG, Broadcom, and more",53367831,1,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593728/image_1072593728.jpg
4149281,2024-09-12T16:42:28-04:00,Keurig Dr Pepper increases dividend by ~7% to $0.23,49282475,5,tag,,
4148365,2024-09-10T10:02:19-04:00,Keurig Dr Pepper settles with SEC over claims of recyclable beverage pods,59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458652843/image_458652843.jpg
4146289,2024-09-03T11:25:12-04:00,"Nielsen reads: Bang, Keurig Dr Pepper and Constellation Brands outperform",954720,13,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458552403/image_458552403.jpg
4139732,2024-08-14T08:42:16-04:00,"Food spotlight: Blockbuster M&A as Mars takes Kellanova private, pantry inflation up 1%",954720,12,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1483133149/image_1483133149.jpg
4217337,2024-10-29T06:35:24-04:00,JAB seeks to raise ~$1.97B with Keurig Dr Pepper share sale,54434154,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/465670940/image_465670940.jpg
4216196,2024-10-28T17:40:35-04:00,Keurig Dr Pepper announces $60M secondary offering of common stock by JAB,59062064,8,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/465670940/image_465670940.jpg
4200628,2024-10-24T11:29:32-04:00,Keurig Dr Pepper makes an energizing M&A move,954720,17,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1403479106/image_1403479106.jpg
4198821,2024-10-24T07:04:12-04:00,"Keurig Dr Pepper Non-GAAP EPS of $0.51 in-line, revenue of $3.89B misses by $30M",54603272,0,tag,,
4198555,2024-10-24T06:13:34-04:00,Keurig Dr Pepper agrees to acquire energy-drink maker Ghost (update),54434154,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1447458691/image_1447458691.jpg
4196152,2024-10-23T12:04:37-04:00,Keurig Dr Pepper Q3 2024 Earnings Preview,49282475,0,tag,,
4157553,2024-10-10T08:52:06-04:00,"CPI read: Food inflation steps up in September as eggs, butter, and beef prices jump",954720,42,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/119453743/image_119453743.jpg
4151868,2024-09-23T08:45:24-04:00,"Citi upgrades Keurig Dr Pepper to buy from neutral, says valuation attractive",59093036,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/634602438/image_634602438.jpg
4149422,2024-09-13T08:40:12-04:00,"Dividend Roundup: Oracle, Colgate-Palmolive, AIG, Broadcom, and more",53367831,1,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593728/image_1072593728.jpg
4149281,2024-09-12T16:42:28-04:00,Keurig Dr Pepper increases dividend by ~7% to $0.23,49282475,5,tag,,
4148365,2024-09-10T10:02:19-04:00,Keurig Dr Pepper settles with SEC over claims of recyclable beverage pods,59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458652843/image_458652843.jpg
4146289,2024-09-03T11:25:12-04:00,"Nielsen reads: Bang, Keurig Dr Pepper and Constellation Brands outperform",954720,13,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458552403/image_458552403.jpg
4139732,2024-08-14T08:42:16-04:00,"Food spotlight: Blockbuster M&A as Mars takes Kellanova private, pantry inflation up 1%",954720,12,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1483133149/image_1483133149.jpg
4216196,2024-10-28T17:40:35-04:00,Keurig Dr Pepper announces $60M secondary offering of common stock by JAB,59062064,8,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/465670940/image_465670940.jpg
4200628,2024-10-24T11:29:32-04:00,Keurig Dr Pepper makes an energizing M&A move,954720,17,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1403479106/image_1403479106.jpg
4198821,2024-10-24T07:04:12-04:00,"Keurig Dr Pepper Non-GAAP EPS of $0.51 in-line, revenue of $3.89B misses by $30M",54603272,0,tag,,
4198555,2024-10-24T06:13:34-04:00,Keurig Dr Pepper agrees to acquire energy-drink maker Ghost (update),54434154,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1447458691/image_1447458691.jpg
4196152,2024-10-23T12:04:37-04:00,Keurig Dr Pepper Q3 2024 Earnings Preview,49282475,0,tag,,
4157553,2024-10-10T08:52:06-04:00,"CPI read: Food inflation steps up in September as eggs, butter, and beef prices jump",954720,42,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/119453743/image_119453743.jpg
4151868,2024-09-23T08:45:24-04:00,"Citi upgrades Keurig Dr Pepper to buy from neutral, says valuation attractive",59093036,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/634602438/image_634602438.jpg
4149422,2024-09-13T08:40:12-04:00,"Dividend Roundup: Oracle, Colgate-Palmolive, AIG, Broadcom, and more",53367831,1,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593728/image_1072593728.jpg
4149281,2024-09-12T16:42:28-04:00,Keurig Dr Pepper increases dividend by ~7% to $0.23,49282475,5,tag,,
4148365,2024-09-10T10:02:19-04:00,Keurig Dr Pepper settles with SEC over claims of recyclable beverage pods,59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458652843/image_458652843.jpg
4146289,2024-09-03T11:25:12-04:00,"Nielsen reads: Bang, Keurig Dr Pepper and Constellation Brands outperform",954720,13,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458552403/image_458552403.jpg
4139732,2024-08-14T08:42:16-04:00,"Food spotlight: Blockbuster M&A as Mars takes Kellanova private, pantry inflation up 1%",954720,12,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1483133149/image_1483133149.jpg
4200628,2024-10-24T11:29:32-04:00,Keurig Dr Pepper makes an energizing M&A move,954720,17,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1403479106/image_1403479106.jpg
4198821,2024-10-24T07:04:12-04:00,"Keurig Dr Pepper Non-GAAP EPS of $0.51 in-line, revenue of $3.89B misses by $30M",54603272,0,tag,,
4198555,2024-10-24T06:13:34-04:00,Keurig Dr Pepper agrees to acquire energy-drink maker Ghost (update),54434154,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1447458691/image_1447458691.jpg
4196152,2024-10-23T12:04:37-04:00,Keurig Dr Pepper Q3 2024 Earnings Preview,49282475,0,tag,,
4157553,2024-10-10T08:52:06-04:00,"CPI read: Food inflation steps up in September as eggs, butter, and beef prices jump",954720,42,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/119453743/image_119453743.jpg
4151868,2024-09-23T08:45:24-04:00,"Citi upgrades Keurig Dr Pepper to buy from neutral, says valuation attractive",59093036,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/634602438/image_634602438.jpg
4149422,2024-09-13T08:40:12-04:00,"Dividend Roundup: Oracle, Colgate-Palmolive, AIG, Broadcom, and more",53367831,1,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593728/image_1072593728.jpg
4149281,2024-09-12T16:42:28-04:00,Keurig Dr Pepper increases dividend by ~7% to $0.23,49282475,5,tag,,
4148365,2024-09-10T10:02:19-04:00,Keurig Dr Pepper settles with SEC over claims of recyclable beverage pods,59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458652843/image_458652843.jpg
4146289,2024-09-03T11:25:12-04:00,"Nielsen reads: Bang, Keurig Dr Pepper and Constellation Brands outperform",954720,13,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458552403/image_458552403.jpg
4139732,2024-08-14T08:42:16-04:00,"Food spotlight: Blockbuster M&A as Mars takes Kellanova private, pantry inflation up 1%",954720,12,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1483133149/image_1483133149.jpg
4200628,2024-10-24T11:29:32-04:00,Keurig Dr Pepper makes an energizing M&A move,954720,17,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1403479106/image_1403479106.jpg
4198821,2024-10-24T07:04:12-04:00,"Keurig Dr Pepper Non-GAAP EPS of $0.51 in-line, revenue of $3.89B misses by $30M",54603272,0,tag,,
4198555,2024-10-24T06:13:34-04:00,Keurig Dr Pepper agrees to acquire energy-drink maker Ghost (update),54434154,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1447458691/image_1447458691.jpg
4196152,2024-10-23T12:04:37-04:00,Keurig Dr Pepper Q3 2024 Earnings Preview,49282475,0,tag,,
4157553,2024-10-10T08:52:06-04:00,"CPI read: Food inflation steps up in September as eggs, butter, and beef prices jump",954720,42,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/119453743/image_119453743.jpg
4151868,2024-09-23T08:45:24-04:00,"Citi upgrades Keurig Dr Pepper to buy from neutral, says valuation attractive",59093036,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/634602438/image_634602438.jpg
4149422,2024-09-13T08:40:12-04:00,"Dividend Roundup: Oracle, Colgate-Palmolive, AIG, Broadcom, and more",53367831,1,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593728/image_1072593728.jpg
4149281,2024-09-12T16:42:28-04:00,Keurig Dr Pepper increases dividend by ~7% to $0.23,49282475,5,tag,,
4148365,2024-09-10T10:02:19-04:00,Keurig Dr Pepper settles with SEC over claims of recyclable beverage pods,59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458652843/image_458652843.jpg
4146289,2024-09-03T11:25:12-04:00,"Nielsen reads: Bang, Keurig Dr Pepper and Constellation Brands outperform",954720,13,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458552403/image_458552403.jpg
4139732,2024-08-14T08:42:16-04:00,"Food spotlight: Blockbuster M&A as Mars takes Kellanova private, pantry inflation up 1%",954720,12,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1483133149/image_1483133149.jpg
4200628,2024-10-24T11:29:32-04:00,Keurig Dr Pepper makes an energizing M&A move,954720,17,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1403479106/image_1403479106.jpg
4198821,2024-10-24T07:04:12-04:00,"Keurig Dr Pepper Non-GAAP EPS of $0.51 in-line, revenue of $3.89B misses by $30M",54603272,0,tag,,
4198555,2024-10-24T06:13:34-04:00,Keurig Dr Pepper agrees to acquire energy-drink maker Ghost (update),54434154,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1447458691/image_1447458691.jpg
4196152,2024-10-23T12:04:37-04:00,Keurig Dr Pepper Q3 2024 Earnings Preview,49282475,0,tag,,
4157553,2024-10-10T08:52:06-04:00,"CPI read: Food inflation steps up in September as eggs, butter, and beef prices jump",954720,42,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/119453743/image_119453743.jpg
4151868,2024-09-23T08:45:24-04:00,"Citi upgrades Keurig Dr Pepper to buy from neutral, says valuation attractive",59093036,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/634602438/image_634602438.jpg
4149422,2024-09-13T08:40:12-04:00,"Dividend Roundup: Oracle, Colgate-Palmolive, AIG, Broadcom, and more",53367831,1,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593728/image_1072593728.jpg
4149281,2024-09-12T16:42:28-04:00,Keurig Dr Pepper increases dividend by ~7% to $0.23,49282475,5,tag,,
4148365,2024-09-10T10:02:19-04:00,Keurig Dr Pepper settles with SEC over claims of recyclable beverage pods,59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458652843/image_458652843.jpg
4146289,2024-09-03T11:25:12-04:00,"Nielsen reads: Bang, Keurig Dr Pepper and Constellation Brands outperform",954720,13,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458552403/image_458552403.jpg
4139732,2024-08-14T08:42:16-04:00,"Food spotlight: Blockbuster M&A as Mars takes Kellanova private, pantry inflation up 1%",954720,12,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1483133149/image_1483133149.jpg
4200628,2024-10-24T11:29:32-04:00,Keurig Dr Pepper makes an energizing M&A move,954720,17,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1403479106/image_1403479106.jpg
4198821,2024-10-24T07:04:12-04:00,"Keurig Dr Pepper Non-GAAP EPS of $0.51 in-line, revenue of $3.89B misses by $30M",54603272,0,tag,,
4198555,2024-10-24T06:13:34-04:00,Keurig Dr Pepper agrees to acquire energy-drink maker Ghost (update),54434154,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1447458691/image_1447458691.jpg
4196152,2024-10-23T12:04:37-04:00,Keurig Dr Pepper Q3 2024 Earnings Preview,49282475,0,tag,,
4157553,2024-10-10T08:52:06-04:00,"CPI read: Food inflation steps up in September as eggs, butter, and beef prices jump",954720,42,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/119453743/image_119453743.jpg
4151868,2024-09-23T08:45:24-04:00,"Citi upgrades Keurig Dr Pepper to buy from neutral, says valuation attractive",59093036,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/634602438/image_634602438.jpg
4149422,2024-09-13T08:40:12-04:00,"Dividend Roundup: Oracle, Colgate-Palmolive, AIG, Broadcom, and more",53367831,1,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593728/image_1072593728.jpg
4149281,2024-09-12T16:42:28-04:00,Keurig Dr Pepper increases dividend by ~7% to $0.23,49282475,5,tag,,
4148365,2024-09-10T10:02:19-04:00,Keurig Dr Pepper settles with SEC over claims of recyclable beverage pods,59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458652843/image_458652843.jpg
4146289,2024-09-03T11:25:12-04:00,"Nielsen reads: Bang, Keurig Dr Pepper and Constellation Brands outperform",954720,13,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458552403/image_458552403.jpg
4139732,2024-08-14T08:42:16-04:00,"Food spotlight: Blockbuster M&A as Mars takes Kellanova private, pantry inflation up 1%",954720,12,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1483133149/image_1483133149.jpg
4196152,2024-10-23T12:04:37-04:00,Keurig Dr Pepper Q3 2024 Earnings Preview,49282475,0,tag,,
4157553,2024-10-10T08:52:06-04:00,"CPI read: Food inflation steps up in September as eggs, butter, and beef prices jump",954720,42,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/119453743/image_119453743.jpg
4151868,2024-09-23T08:45:24-04:00,"Citi upgrades Keurig Dr Pepper to buy from neutral, says valuation attractive",59093036,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/634602438/image_634602438.jpg
4149422,2024-09-13T08:40:12-04:00,"Dividend Roundup: Oracle, Colgate-Palmolive, AIG, Broadcom, and more",53367831,1,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593728/image_1072593728.jpg
4149281,2024-09-12T16:42:28-04:00,Keurig Dr Pepper increases dividend by ~7% to $0.23,49282475,5,tag,,
4148365,2024-09-10T10:02:19-04:00,Keurig Dr Pepper settles with SEC over claims of recyclable beverage pods,59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458652843/image_458652843.jpg
4146289,2024-09-03T11:25:12-04:00,"Nielsen reads: Bang, Keurig Dr Pepper and Constellation Brands outperform",954720,13,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458552403/image_458552403.jpg
4139732,2024-08-14T08:42:16-04:00,"Food spotlight: Blockbuster M&A as Mars takes Kellanova private, pantry inflation up 1%",954720,12,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1483133149/image_1483133149.jpg
4157553,2024-10-10T08:52:06-04:00,"CPI read: Food inflation steps up in September as eggs, butter, and beef prices jump",954720,42,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/119453743/image_119453743.jpg
4151868,2024-09-23T08:45:24-04:00,"Citi upgrades Keurig Dr Pepper to buy from neutral, says valuation attractive",59093036,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/634602438/image_634602438.jpg
4149422,2024-09-13T08:40:12-04:00,"Dividend Roundup: Oracle, Colgate-Palmolive, AIG, Broadcom, and more",53367831,1,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593728/image_1072593728.jpg
4149281,2024-09-12T16:42:28-04:00,Keurig Dr Pepper increases dividend by ~7% to $0.23,49282475,5,tag,,
4148365,2024-09-10T10:02:19-04:00,Keurig Dr Pepper settles with SEC over claims of recyclable beverage pods,59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458652843/image_458652843.jpg
4146289,2024-09-03T11:25:12-04:00,"Nielsen reads: Bang, Keurig Dr Pepper and Constellation Brands outperform",954720,13,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458552403/image_458552403.jpg
4139732,2024-08-14T08:42:16-04:00,"Food spotlight: Blockbuster M&A as Mars takes Kellanova private, pantry inflation up 1%",954720,12,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1483133149/image_1483133149.jpg
4157553,2024-10-10T08:52:06-04:00,"CPI read: Food inflation steps up in September as eggs, butter, and beef prices jump",954720,42,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/119453743/image_119453743.jpg
4151868,2024-09-23T08:45:24-04:00,"Citi upgrades Keurig Dr Pepper to buy from neutral, says valuation attractive",59093036,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/634602438/image_634602438.jpg
4149422,2024-09-13T08:40:12-04:00,"Dividend Roundup: Oracle, Colgate-Palmolive, AIG, Broadcom, and more",53367831,1,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593728/image_1072593728.jpg
4149281,2024-09-12T16:42:28-04:00,Keurig Dr Pepper increases dividend by ~7% to $0.23,49282475,5,tag,,
4148365,2024-09-10T10:02:19-04:00,Keurig Dr Pepper settles with SEC over claims of recyclable beverage pods,59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458652843/image_458652843.jpg
4146289,2024-09-03T11:25:12-04:00,"Nielsen reads: Bang, Keurig Dr Pepper and Constellation Brands outperform",954720,13,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458552403/image_458552403.jpg
4139732,2024-08-14T08:42:16-04:00,"Food spotlight: Blockbuster M&A as Mars takes Kellanova private, pantry inflation up 1%",954720,12,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1483133149/image_1483133149.jpg
4157553,2024-10-10T08:52:06-04:00,"CPI read: Food inflation steps up in September as eggs, butter, and beef prices jump",954720,42,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/119453743/image_119453743.jpg
4151868,2024-09-23T08:45:24-04:00,"Citi upgrades Keurig Dr Pepper to buy from neutral, says valuation attractive",59093036,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/634602438/image_634602438.jpg
4149422,2024-09-13T08:40:12-04:00,"Dividend Roundup: Oracle, Colgate-Palmolive, AIG, Broadcom, and more",53367831,1,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593728/image_1072593728.jpg
4149281,2024-09-12T16:42:28-04:00,Keurig Dr Pepper increases dividend by ~7% to $0.23,49282475,5,tag,,
4148365,2024-09-10T10:02:19-04:00,Keurig Dr Pepper settles with SEC over claims of recyclable beverage pods,59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458652843/image_458652843.jpg
4146289,2024-09-03T11:25:12-04:00,"Nielsen reads: Bang, Keurig Dr Pepper and Constellation Brands outperform",954720,13,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458552403/image_458552403.jpg
4139732,2024-08-14T08:42:16-04:00,"Food spotlight: Blockbuster M&A as Mars takes Kellanova private, pantry inflation up 1%",954720,12,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1483133149/image_1483133149.jpg
4157553,2024-10-10T08:52:06-04:00,"CPI read: Food inflation steps up in September as eggs, butter, and beef prices jump",954720,42,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/119453743/image_119453743.jpg
4151868,2024-09-23T08:45:24-04:00,"Citi upgrades Keurig Dr Pepper to buy from neutral, says valuation attractive",59093036,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/634602438/image_634602438.jpg
4149422,2024-09-13T08:40:12-04:00,"Dividend Roundup: Oracle, Colgate-Palmolive, AIG, Broadcom, and more",53367831,1,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593728/image_1072593728.jpg
4149281,2024-09-12T16:42:28-04:00,Keurig Dr Pepper increases dividend by ~7% to $0.23,49282475,5,tag,,
4148365,2024-09-10T10:02:19-04:00,Keurig Dr Pepper settles with SEC over claims of recyclable beverage pods,59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458652843/image_458652843.jpg
4146289,2024-09-03T11:25:12-04:00,"Nielsen reads: Bang, Keurig Dr Pepper and Constellation Brands outperform",954720,13,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458552403/image_458552403.jpg
4139732,2024-08-14T08:42:16-04:00,"Food spotlight: Blockbuster M&A as Mars takes Kellanova private, pantry inflation up 1%",954720,12,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1483133149/image_1483133149.jpg
4157553,2024-10-10T08:52:06-04:00,"CPI read: Food inflation steps up in September as eggs, butter, and beef prices jump",954720,42,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/119453743/image_119453743.jpg
4151868,2024-09-23T08:45:24-04:00,"Citi upgrades Keurig Dr Pepper to buy from neutral, says valuation attractive",59093036,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/634602438/image_634602438.jpg
4149422,2024-09-13T08:40:12-04:00,"Dividend Roundup: Oracle, Colgate-Palmolive, AIG, Broadcom, and more",53367831,1,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593728/image_1072593728.jpg
4149281,2024-09-12T16:42:28-04:00,Keurig Dr Pepper increases dividend by ~7% to $0.23,49282475,5,tag,,
4148365,2024-09-10T10:02:19-04:00,Keurig Dr Pepper settles with SEC over claims of recyclable beverage pods,59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458652843/image_458652843.jpg
4146289,2024-09-03T11:25:12-04:00,"Nielsen reads: Bang, Keurig Dr Pepper and Constellation Brands outperform",954720,13,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458552403/image_458552403.jpg
4139732,2024-08-14T08:42:16-04:00,"Food spotlight: Blockbuster M&A as Mars takes Kellanova private, pantry inflation up 1%",954720,12,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1483133149/image_1483133149.jpg
4157553,2024-10-10T08:52:06-04:00,"CPI read: Food inflation steps up in September as eggs, butter, and beef prices jump",954720,42,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/119453743/image_119453743.jpg
4151868,2024-09-23T08:45:24-04:00,"Citi upgrades Keurig Dr Pepper to buy from neutral, says valuation attractive",59093036,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/634602438/image_634602438.jpg
4149422,2024-09-13T08:40:12-04:00,"Dividend Roundup: Oracle, Colgate-Palmolive, AIG, Broadcom, and more",53367831,1,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593728/image_1072593728.jpg
4149281,2024-09-12T16:42:28-04:00,Keurig Dr Pepper increases dividend by ~7% to $0.23,49282475,5,tag,,
4148365,2024-09-10T10:02:19-04:00,Keurig Dr Pepper settles with SEC over claims of recyclable beverage pods,59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458652843/image_458652843.jpg
